provider_id,provider_claim_count,provider_avg_claim,provider_total_revenue,provider_rejection_rate,provider_unique_patients,specialty,specialty_avg_claim,provider_vs_specialty_ratio,freq_provider_claim_count,spec_mean_freq,claim_freq_z,spec_mean_claim,spec_std_claim,billing_z,dup_rate,provider_risk_score
1,36,31117.680698303622,1120236.5051389304,0.25,36,Orthopedic,25764.38971239332,1.2078,36,40.343503937007874,0.0,25764.38971239332,16909.670079845368,0.3165816340965096,0.0,0.1545
2,39,24267.384615384617,946428.0,0.2564102564102564,39,General Practitioner,25722.534270358356,0.9434,39,39.62075654704171,0.0,25722.534270358356,16968.936701951054,0.0,0.0,0.0769
3,36,23383.777777777777,841816.0,0.16666666666666666,36,Dermatologist,25674.761146186924,0.9108,36,39.923474663909,0.0,25674.761146186924,16796.2128266315,0.0,0.0,0.05
4,42,39236.064170169266,1647914.6951471092,0.14285714285714285,42,Orthopedic,25764.38971239332,1.5229,42,40.343503937007874,0.04105979653077655,25764.38971239332,16909.670079845368,0.7966846422292314,0.0,0.2639
5,49,25563.30612244898,1252602.0,0.1836734693877551,49,Orthopedic,25764.38971239332,0.9922,49,40.343503937007874,0.2145697626192393,25764.38971239332,16909.670079845368,0.0,0.0,0.1649
6,41,24993.951219512193,1024752.0,0.17073170731707318,41,General Practitioner,25722.534270358356,0.9717,41,39.62075654704171,0.03481113368748315,25722.534270358356,16968.936701951054,0.0,0.0,0.069
7,39,23103.410256410258,901033.0,0.1794871794871795,39,Dermatologist,25674.761146186924,0.8998,39,39.923474663909,0.0,25674.761146186924,16796.2128266315,0.0,0.0,0.0538
8,41,27075.0,1110075.0,0.17073170731707318,41,Cardiologist,26009.805059492865,1.041,41,40.200208550573514,0.019895206474372283,26009.805059492865,17071.01339448855,0.062397873863249284,0.0,0.0771
9,33,25009.39393939394,825310.0,0.2727272727272727,33,Oncologist,25802.00088163184,0.9693,33,39.92599805258033,0.0,25802.00088163184,16860.811939533574,0.0,0.0,0.0818
10,33,26857.21212121212,886288.0,0.15151515151515152,33,General Practitioner,25722.534270358356,1.0441,33,39.62075654704171,0.0,25722.534270358356,16968.936701951054,0.06686794056596967,0.0,0.0622
11,42,23158.35714285714,972651.0,0.23809523809523808,42,General Practitioner,25722.534270358356,0.9003,42,39.62075654704171,0.060050429631080295,25722.534270358356,16968.936701951054,0.0,0.0,0.1022
12,33,25220.090909090908,832263.0,0.18181818181818182,33,Oncologist,25802.00088163184,0.9774,33,39.92599805258033,0.0,25802.00088163184,16860.811939533574,0.0,0.0,0.0545
13,28,25828.5,723198.0,0.14285714285714285,28,Orthopedic,25764.38971239332,1.0025,28,40.343503937007874,0.0,25764.38971239332,16909.670079845368,0.0037913387608367838,0.0,0.0438
14,41,26988.073170731706,1106511.0,0.12195121951219512,41,General Practitioner,25722.534270358356,1.0492,41,39.62075654704171,0.03481113368748315,25722.534270358356,16968.936701951054,0.0745797407699589,0.0,0.0731
15,44,25506.227272727272,1122274.0,0.25,44,Cardiologist,26009.805059492865,0.9806,44,40.200208550573514,0.09452168499688733,26009.805059492865,17071.01339448855,0.0,0.0,0.1234
16,44,26024.547712620682,1145080.09935531,0.20454545454545456,44,Dermatologist,25674.761146186924,1.0136,44,39.923474663909,0.1021084805470652,25674.761146186924,16796.2128266315,0.020825323544314055,0.0,0.1188
17,41,27774.61073191202,1138759.0400083929,0.14634146341463414,41,Orthopedic,25764.38971239332,1.078,41,40.343503937007874,0.016272658518139013,25764.38971239332,16909.670079845368,0.11887996690808782,0.0,0.0821
18,38,24303.002309039573,923514.0877435037,0.18421052631578946,38,General Practitioner,25722.534270358356,0.9448,38,39.62075654704171,0.0,25722.534270358356,16968.936701951054,0.0,0.0,0.0553
19,45,23954.706586030374,1077961.7963713668,0.2,45,Cardiologist,26009.805059492865,0.921,45,40.200208550573514,0.11939717783772567,26009.805059492865,17071.01339448855,0.0,0.0,0.1211
20,42,26279.690476190477,1103747.0,0.2619047619047619,42,Oncologist,25802.00088163184,1.0185,42,39.92599805258033,0.051946151594966294,25802.00088163184,16860.811939533574,0.02833135179205676,0.0,0.1123
21,32,29831.779404669356,954616.9409494194,0.40625,32,Orthopedic,25764.38971239332,1.1579,32,40.343503937007874,0.0,25764.38971239332,16909.670079845368,0.24053631283581084,0.0,0.1823
22,51,27869.901960784315,1421365.0,0.21568627450980393,51,Cardiologist,26009.805059492865,1.0715,51,40.200208550573514,0.26865013488275574,26009.805059492865,17071.01339448855,0.10896230108354261,0.0,0.2295
23,51,27418.520302889014,1398344.5354473398,0.11764705882352941,51,General Practitioner,25722.534270358356,1.0659,51,39.62075654704171,0.28720409312345463,25722.534270358356,16968.936701951054,0.09994651181270875,0.0,0.2073
24,32,26534.0625,849090.0,0.125,32,Oncologist,25802.00088163184,1.0284,32,39.92599805258033,0.0,25802.00088163184,16860.811939533574,0.043417933904576295,0.0,0.0484
25,44,25979.75,1143109.0,0.25,44,General Practitioner,25722.534270358356,1.01,44,39.62075654704171,0.1105290215182746,25722.534270358356,16968.936701951054,0.015158034599308175,0.0,0.1354
26,39,22350.615384615383,871674.0,0.20512820512820512,39,Dermatologist,25674.761146186924,0.8705,39,39.923474663909,0.0,25674.761146186924,16796.2128266315,0.0,0.0,0.0615
27,47,23488.369570866267,1103953.3698307145,0.2553191489361702,47,General Practitioner,25722.534270358356,0.9131,47,39.62075654704171,0.18624690934906604,25722.534270358356,16968.936701951054,0.0,0.0,0.1719
28,40,24463.775,978551.0,0.1,40,Oncologist,25802.00088163184,0.9481,40,39.92599805258033,0.001853477709491712,25802.00088163184,16860.811939533574,0.0,0.0,0.0309
29,45,26670.266666666666,1200162.0,0.2222222222222222,45,Dermatologist,25674.761146186924,1.0388,45,39.923474663909,0.1271564005594985,25674.761146186924,16796.2128266315,0.05926964195769794,0.0,0.1466
30,35,27682.67281621712,968893.5485675992,0.11428571428571428,35,Dermatologist,25674.761146186924,1.0782,35,39.923474663909,0.0,25674.761146186924,16796.2128266315,0.11954550056942125,0.0,0.0643
