iter	RMSE
0	0.1416027563
1	0.1392143401
2	0.1369947315
3	0.1349609516
4	0.1330376897
5	0.1312610689
6	0.1296178226
7	0.1280386479
8	0.1266468188
9	0.1253263667
10	0.124153684
11	0.123021367
12	0.1219542836
13	0.1210561635
14	0.1201538631
15	0.119301967
16	0.1185198199
17	0.1177658374
18	0.1171368283
19	0.1165294391
20	0.1159041865
21	0.1153736814
22	0.1148053413
23	0.1143276708
24	0.113875297
25	0.1134565099
26	0.1130607169
27	0.1126600422
28	0.1123186052
29	0.1119901494
30	0.1116732823
31	0.1113426213
32	0.1110412989
33	0.1107757706
34	0.1105241085
35	0.1103029174
36	0.1100749391
37	0.1098480601
38	0.1096589615
39	0.1094524787
40	0.1092569863
41	0.1090805922
42	0.1089206891
43	0.1087513021
44	0.1085893372
45	0.10841694
46	0.1082848221
47	0.1081508476
48	0.1080404001
49	0.1079220828
50	0.1078062805
51	0.1077257837
52	0.1076140536
53	0.1075107108
54	0.10740912
55	0.1073179907
56	0.1072300332
57	0.1071397588
58	0.1070583537
59	0.1069771133
60	0.1068892209
61	0.1068140707
62	0.1067346982
63	0.1066635822
64	0.1065819565
65	0.1065067241
66	0.1064424993
67	0.1063832542
68	0.1063321077
69	0.1062703337
70	0.1061950748
71	0.1061533412
72	0.1060992734
73	0.106057253
74	0.1060057764
75	0.1059619658
76	0.1059151157
77	0.1058721394
78	0.105828073
79	0.1057882155
80	0.105739774
81	0.1056984981
82	0.1056630887
83	0.1056360004
84	0.1056020632
85	0.1055555513
86	0.1055260391
87	0.1054889129
88	0.1054677813
89	0.1054373782
90	0.1054146593
91	0.1053796602
92	0.1053541773
93	0.1053294044
94	0.1053021714
95	0.1052708211
96	0.1052465024
97	0.1052157615
98	0.105175034
99	0.1051617327
100	0.1051336713
101	0.105106836
102	0.105070984
103	0.1050409441
104	0.104997054
105	0.1049728256
106	0.1049352729
107	0.10490794
108	0.104888125
109	0.1048750798
110	0.1048460911
111	0.1048265432
112	0.1048064795
113	0.1047821237
114	0.1047671763
115	0.1047485383
116	0.104734848
117	0.1047095334
118	0.1046783507
119	0.1046515554
120	0.1046352228
121	0.1046139365
122	0.1046017649
123	0.1045908467
124	0.1045744096
125	0.1045526486
126	0.104540104
127	0.1045155584
128	0.1044907277
129	0.1044789845
130	0.1044699051
131	0.1044567708
132	0.1044448521
133	0.1044282037
134	0.1044165491
135	0.104394456
136	0.1043874092
137	0.1043485235
138	0.1043289997
139	0.1043209101
140	0.1043090963
141	0.1042957704
142	0.1042641264
143	0.1042478475
144	0.10423125
145	0.1041934883
146	0.1041746497
147	0.1041585434
148	0.1041409511
149	0.1041136024
150	0.1040898217
151	0.1040777115
152	0.104058353
153	0.1040337125
154	0.1040209907
155	0.1040131098
156	0.1040058708
157	0.1039878223
158	0.103945048
159	0.1039291361
160	0.1039196377
161	0.1038975065
162	0.1038912748
163	0.1038768348
164	0.1038570233
165	0.1038324471
166	0.1038228789
167	0.10381428
168	0.1037967646
169	0.1037773255
170	0.1037648923
171	0.1037332307
172	0.1037251996
173	0.1037185048
174	0.1036984336
175	0.1036801884
176	0.1036611055
177	0.1036445976
178	0.1036190242
179	0.1035836562
180	0.1035645621
181	0.1035529438
182	0.1035359307
183	0.1035270674
184	0.1035079257
185	0.1034908851
186	0.103483826
187	0.1034739584
188	0.1034595055
189	0.1034359099
190	0.1034231111
191	0.1034041159
192	0.1033912726
193	0.1033630289
194	0.1033461876
195	0.1033324538
196	0.1033239348
197	0.1032908032
198	0.1032785481
199	0.1032651846
200	0.1032477506
201	0.1032402389
202	0.1032238906
203	0.1032008308
204	0.1031952219
205	0.1031763151
206	0.1031602442
207	0.1031470111
208	0.1031234161
209	0.1031122663
210	0.1031050049
211	0.1030911088
212	0.1030744775
213	0.103054284
214	0.1030445773
215	0.1030191804
216	0.1030049009
217	0.1029797235
218	0.102970366
219	0.1029609606
220	0.102952309
221	0.1029419561
222	0.102926815
223	0.1029187555
224	0.10290082
225	0.1028794845
226	0.1028554952
227	0.102842826
228	0.102834388
229	0.1028156973
230	0.1027966259
231	0.1027746756
232	0.1027569867
233	0.1027349833
234	0.1027192563
235	0.1027075648
236	0.1026881003
237	0.1026798313
238	0.1026659926
239	0.1026579654
240	0.1026498276
241	0.1026391356
242	0.10262618
243	0.102613951
244	0.1026053442
245	0.1025863574
246	0.1025662253
247	0.1025587281
248	0.1025486552
249	0.1025382813
250	0.102521865
251	0.1025150826
252	0.1025001113
253	0.1024899482
254	0.1024848122
255	0.1024695146
256	0.1024530793
257	0.102443226
258	0.1024325808
259	0.1024175983
260	0.1024060314
261	0.102395186
262	0.1023894413
263	0.1023783543
264	0.1023688004
265	0.1023600497
266	0.1023519213
267	0.1023440061
268	0.1023286626
269	0.1023072968
270	0.102290229
271	0.1022744442
272	0.1022571329
273	0.1022430602
274	0.1022329736
275	0.1022226399
276	0.1022135713
277	0.1021990837
278	0.1021948945
279	0.1021675733
280	0.1021528906
281	0.1021412255
282	0.1021359242
283	0.1021266272
284	0.1021224275
285	0.102113617
286	0.1021023094
287	0.1020801941
288	0.102069832
289	0.1020505632
290	0.1020363643
291	0.1020176366
292	0.1020004454
293	0.1019890989
294	0.1019730486
295	0.1019670712
296	0.1019482479
297	0.1019316385
298	0.1019146492
299	0.1019056787
300	0.1018986222
301	0.1018798277
302	0.1018594635
303	0.1018408058
304	0.1018223216
305	0.1018065402
306	0.101794504
307	0.1017890936
308	0.1017806298
309	0.1017616352
310	0.1017440417
311	0.1017265215
312	0.101721729
313	0.1017060771
314	0.1016925448
315	0.1016821669
316	0.1016662302
317	0.1016535359
318	0.1016408587
319	0.1016320289
320	0.1016194051
321	0.1016156417
322	0.1016048434
323	0.1015858562
324	0.1015687173
325	0.1015508505
326	0.1015445111
327	0.1015339385
328	0.1015227758
329	0.1015139565
330	0.1015043535
331	0.1014892717
332	0.1014851613
333	0.1014699348
334	0.1014534122
335	0.1014371012
336	0.1014274931
337	0.1014185871
338	0.1014074975
339	0.1013983727
340	0.1013832317
341	0.1013692246
342	0.1013571593
343	0.1013346112
344	0.1013292534
345	0.1013205232
346	0.1013108468
347	0.1012939791
348	0.1012829274
349	0.1012645298
350	0.1012457619
351	0.1012356326
352	0.1012219835
353	0.1012140523
354	0.1012018666
355	0.1011879514
356	0.1011703285
357	0.1011584079
358	0.1011479602
359	0.1011303911
360	0.1011231578
361	0.1011046913
362	0.1010951359
363	0.1010817973
364	0.1010751755
365	0.1010618267
366	0.1010444325
367	0.1010342063
368	0.1010228105
369	0.1009981499
370	0.1009813091
371	0.100968759
372	0.100951007
373	0.1009329034
374	0.1009149664
375	0.100894527
376	0.1008834331
377	0.1008738778
378	0.100860694
379	0.1008480306
380	0.1008338722
381	0.1008168502
382	0.1008118995
383	0.1008029285
384	0.1007904152
385	0.1007737363
386	0.1007624572
387	0.1007542566
388	0.1007355617
389	0.1007212461
390	0.1007092076
391	0.1007062806
392	0.1006917871
393	0.1006751054
394	0.100667174
395	0.1006585012
396	0.1006463646
397	0.1006303604
398	0.1006132184
399	0.1005962022
