iter	Passed	Remaining
0	11	4738
1	19	3858
2	26	3477
3	32	3226
4	38	3029
5	43	2879
6	49	2756
7	56	2765
8	61	2688
9	68	2653
10	73	2611
11	79	2565
12	86	2564
13	91	2527
14	96	2481
15	101	2441
16	106	2402
17	111	2356
18	115	2318
19	121	2300
20	126	2284
21	131	2265
22	136	2234
23	141	2215
24	146	2198
25	151	2176
26	157	2180
27	163	2175
28	168	2159
29	173	2141
30	178	2124
31	183	2110
32	189	2107
33	194	2090
34	198	2072
35	203	2062
36	208	2050
37	213	2032
38	218	2023
39	224	2019
40	229	2011
41	235	2007
42	240	1999
43	245	1990
44	251	1987
45	258	1986
46	264	1984
47	269	1976
48	274	1965
49	280	1964
50	288	1977
51	297	1990
52	305	2001
53	312	2001
54	319	2002
55	325	1996
56	330	1987
57	341	2015
58	349	2018
59	360	2042
60	375	2085
61	385	2102
62	394	2111
63	401	2108
64	479	2473
65	545	2760
66	551	2742
67	558	2726
68	574	2753
69	592	2793
70	602	2792
71	609	2778
72	617	2764
73	624	2749
74	631	2737
75	637	2719
76	645	2708
77	651	2691
78	658	2677
79	667	2671
80	673	2653
81	679	2634
82	685	2618
83	694	2613
84	705	2614
85	712	2602
86	718	2585
87	725	2571
88	734	2566
89	749	2582
90	766	2602
91	781	2616
92	793	2620
93	806	2624
94	812	2607
95	817	2589
96	823	2573
97	829	2554
98	834	2538
99	840	2520
100	845	2503
101	850	2485
102	855	2467
103	860	2450
104	868	2438
105	873	2422
106	878	2406
107	884	2390
108	889	2375
109	894	2358
110	899	2342
111	905	2329
112	912	2318
113	917	2302
114	923	2287
115	927	2271
116	933	2256
117	938	2243
118	944	2229
119	949	2215
120	954	2200
121	959	2187
122	965	2173
123	970	2161
124	975	2147
125	981	2134
126	987	2122
127	992	2109
128	998	2097
129	1004	2086
130	1009	2073
131	1016	2063
132	1022	2051
133	1026	2038
134	1031	2024
135	1036	2012
136	1041	2000
137	1047	1988
138	1052	1976
139	1057	1963
140	1062	1951
141	1069	1943
142	1075	1932
143	1080	1920
144	1085	1909
145	1091	1898
146	1096	1886
